ages death_hosp_ratio_female death_hosp_ratio_male
0 0.0 0.0
1 0.0 0.0
2 0.0 0.0
3 0.0 0.0
4 0.0 0.0
5 0.0 0.0
6 0.0 0.0
7 0.0 0.0
8 0.0 0.0
9 0.0 0.0
10 0.0 0.0
11 0.0 0.0
12 0.0 0.0
13 0.0 0.0
14 0.0 0.0
15 0.0 0.0
16 0.0 0.0
17 0.0 0.0
18 0.0 0.0
19 0.0 0.0
20 0.0 0.0
21 0.0 0.0
22 0.0 0.0
23 0.0 0.0
24 0.0006004306218103994 0.0007969105444155649
25 0.004837457071269501 0.00676646241997212
26 0.008110859593932778 0.010935881824581838
27 0.010743976630056228 0.013966467672329515
28 0.014638725934401811 0.01834985579427181
29 0.02006367342415045 0.024255061041761027
30 0.024905077207467718 0.0290388098179179
31 0.029295712066661945 0.032946735364643695
32 0.03014039570947892 0.032694534247916844
33 0.030029189205942927 0.031417397401966266
34 0.02997794950208041 0.03024777103560454
35 0.030546554916591157 0.029721089992735213
36 0.03666104274763608 0.034203707627401894
37 0.04258298802882543 0.03807678462841273
38 0.04838217654614926 0.041437180029577705
39 0.05363597838978978 0.04396402379264487
40 0.05821599617937285 0.045624842432245155
41 0.06286072759376538 0.047049669628167326
42 0.06762553743195861 0.04827440981871166
43 0.07354000284150881 0.04998851227504579
44 0.07982602885759264 0.05157392933598337
45 0.08624456203805875 0.05284781164923267
46 0.08766932133761439 0.055204022284507416
47 0.09124369167542569 0.059034675062605756
48 0.0937734053232314 0.062333379981914565
49 0.09552798056120705 0.06523272970110856
50 0.09927760464523686 0.06963688908257386
51 0.1059556077265227 0.07633541691999382
52 0.11150831620451909 0.08250611846188033
53 0.11611859912810828 0.08823113315820992
54 0.1227325339028806 0.09576063497141926
55 0.1293436840374062 0.10362093255335506
56 0.13687192110368848 0.1101822160641355
57 0.14402252596030554 0.1164994900036217
58 0.15772263011665041 0.12819930735612028
59 0.17064331441434027 0.13937363831642266
60 0.182840901877864 0.15006038146528625
61 0.19562044784128052 0.16132806666211646
62 0.20994265607276918 0.1739806829508587
63 0.22371768608907758 0.18629749597435818
64 0.23697049730267905 0.19829375737780908
65 0.2469952703896107 0.2076888532695428
66 0.2552351630514271 0.21612665317320678
67 0.2633945158479357 0.22459464912440388
68 0.27162689467894097 0.23322352903845864
69 0.2864592359310501 0.2476577211851679
70 0.30047944682061767 0.26156296751718644
71 0.31374241725394464 0.27497335200953815
72 0.325207757020276 0.2869578008282355
73 0.333250696591131 0.2960412935195353
74 0.33988857393352845 0.3039671303912186
75 0.34540612872025306 0.3109668461304669
76 0.34965241023755084 0.32055849363825534
77 0.35448303813098586 0.3308119558109352
78 0.3588222163939401 0.34074449173026533
79 0.36272878426694055 0.3503993580493226
80 0.3726128095428622 0.3660638183063644
81 0.3819377926717633 0.3815156740857705
82 0.3907315935506093 0.39676938102121584
83 0.39712398069438754 0.409883282289293
84 0.3992079604216996 0.41875233198340295
85 0.4011201702838565 0.4275829780903553
86 0.4123373790618908 0.42740767307475697
87 0.4213527623936588 0.42472455441566814
88 0.42932697006874143 0.42086713328167563
89 0.4374751343943746 0.4170846179081711
90 0.445816876922278 0.41338545733834314
91 0.45123125875365505 0.4184059642447212
92 0.45813198560381396 0.4248046904316108
93 0.4670639790798877 0.43308691660828735
94 0.4766106185554996 0.44193907571207586
95 0.4828607561532336 0.4477345404488612
96 0.4915971283514103 0.45583537602411656
97 0.5046715438469633 0.46795867935523516
98 0.5103358205510524 0.47321090226787066
99 0.507735007034649 0.47079928767769974
100 0.50301594618358 0.4664235198925185
101 0.49181300138144907 0.4560355451425799
102 0.49548211376683376 0.45943774407216964
103 0.5048443027819823 0.46811887075905806
104 0.5307142022160688 0.49210683703499863
