ages hosp_cases_ratio_female hosp_cases_ratio_male
0 0.002215003043917252 0.003291295656881118
1 0.0021224968978905603 0.003165468958090437
2 0.002052398312014638 0.003066779368381921
3 0.0019910369606463657 0.002972359567281623
4 0.001994514648133599 0.0029747311728634683
5 0.0017277102108664063 0.002518896648427977
6 0.001448085455075293 0.0020405734774052607
7 0.0011683381445672465 0.0015741562790573013
8 0.0009545001505160603 0.0011850713588724899
9 0.0007265738999121273 0.0007810349333651027
10 0.0007383536353005076 0.0007971767302666805
11 0.0007323083643326853 0.0007941464654369694
12 0.0007575062813795335 0.0008242467711070983
13 0.0007696120609045 0.0008476007943466838
14 0.0008016783121582568 0.0008891501637057295
15 0.001001788360832768 0.0009726762045316601
16 0.0012253767369022638 0.0010685445171110257
17 0.0014383335148042535 0.0011540466600556752
18 0.001595015556222799 0.001205788324726795
19 0.0017307186488617306 0.0012271925370434633
20 0.0019433271181804265 0.001416847143539287
21 0.0022018505561184456 0.001625011895564482
22 0.002391837839125625 0.0017960515424422167
23 0.0026479197710964427 0.001998373036351355
24 0.0028971123577091317 0.0022332896996664327
25 0.003373438811578496 0.0024126514630995236
26 0.0038701538363061366 0.0026518750514705237
27 0.004228911937585927 0.0028237017223924662
28 0.004671599490876395 0.0029593020679498055
29 0.005259216531735801 0.0032299435160545228
30 0.005508952920372848 0.0036698938819202916
31 0.0056616964822484945 0.004032369077843851
32 0.006007491166094429 0.0045562024049760905
33 0.006267443378800725 0.004841340267026013
34 0.006516037367094462 0.005228004868467133
35 0.008534156134466873 0.0076537843318976355
36 0.008498607736514554 0.008353498661645791
37 0.008555173828924739 0.009141225951860243
38 0.008559877347676575 0.009794397002363793
39 0.008594061782586896 0.010507387695618764
40 0.009211635320681755 0.01196776397844511
41 0.010135360308231037 0.013963121220017135
42 0.010523717211607051 0.01534580643924627
43 0.010536496445644519 0.016307728647031856
44 0.010578683400361028 0.01711520317944744
45 0.010906999403705635 0.017687818137212364
46 0.011443374155937491 0.01849143868458172
47 0.011923844677626286 0.01920856134999615
48 0.012373795281866124 0.02017961999802784
49 0.013618533528263109 0.022156445007643768
50 0.014340745420205294 0.023213096587599194
51 0.01541737779031076 0.024822428923800453
52 0.01630233965599698 0.0259075790380791
53 0.017267709349548365 0.027639998488115793
54 0.01822788891589815 0.02903796625822828
55 0.020618444853612583 0.03324084517866439
56 0.021773808535624262 0.03556413182281172
57 0.022999135874293586 0.03784343778644214
58 0.024526445263739333 0.04090069356892052
59 0.026277818734091542 0.04445858854257581
60 0.027269804567808423 0.0461888950906924
61 0.028264803889696512 0.04784532603275937
62 0.02974463431001029 0.05052932254379403
63 0.03129175942119084 0.053182299436824156
64 0.03278319924885524 0.05614725568491101
65 0.06038073223844896 0.10405957025964045
66 0.06209228667296182 0.1070508343998728
67 0.06443428484435301 0.11264344007809822
68 0.06480388171233496 0.11403814002818798
69 0.06419308181618462 0.11421096888458933
70 0.06764556769694784 0.11757839925439197
71 0.06868099205644206 0.11814830763356135
72 0.06801524037308104 0.11510887327260055
73 0.09292049662437629 0.15619761861578085
74 0.1015252241200069 0.16946039360866105
75 0.1040895454384292 0.17169813085421975
76 0.11654567583994613 0.19237321910955868
77 0.1353479118668248 0.2226689182035308
78 0.15607049727551764 0.2558833776051665
79 0.15810004441368347 0.25777479466291014
80 0.16740830989909533 0.26940410647832047
81 0.18071818902192788 0.2868812530033984
82 0.1982850985201822 0.3130930496428475
83 0.21775363083682095 0.34235860104334576
84 0.24006479298922728 0.374240203186244
85 0.2618042014176611 0.4057834001202735
86 0.28052089468297936 0.43081493718618424
87 0.2970902806987114 0.4540026973934769
88 0.3197910913322316 0.4868152322585338
89 0.35108836671338495 0.5316627134272932
90 0.3468341875929875 0.4845797545409726
91 0.3448913703118127 0.481152551660458
92 0.3426765304754288 0.4772578380799205
93 0.3401282368036683 0.4727929506496381
94 0.33716505472865727 0.46762279303557996
95 0.33367668301829073 0.4615659296188231
96 0.3295099193538866 0.4543728534189675
97 0.3244455560686119 0.44569075792192947
98 0.3181585422296042 0.4350039056107532
99 0.3101453313680077 0.4215272968877808
100 0.29958186300884526 0.4040045667305248
101 0.28502028896735115 0.3802916940916243
102 0.2636609700246841 0.34640488671153813
103 0.22929447712393988 0.29400825863249563
104 0.16483785116321276 0.2022377979262775
