Area of usual residence,Area of workplace,Persons
E41000001,E41000001,87
E41000001,E41000002,10
E41000001,E41000003,2
E41000001,E41000004,26
E41000001,E41000005,11
E41000001,E41000007,2
E41000001,E41000009,1
E41000001,E41000010,4
E41000001,E41000011,3
E41000001,E41000014,6
E41000001,E41000018,3
E41000001,E41000019,1
E41000001,E41000020,2
E41000001,E41000025,1
E41000001,E41000026,4
E41000001,E41000031,2
E41000001,E41000032,1
E41000001,E41000034,1
E41000001,E41000035,4
E41000001,E41000040,1
E41000001,E41000044,1
E41000001,E41000047,8
E41000001,E41000051,1
E41000001,E41000052,3
E41000001,E41000053,3
E41000001,E41000055,1
E41000001,E41000056,1
E41000001,E41000059,1
E41000001,E41000060,1
E41000001,E41000063,1
E41000001,E41000064,3
E41000001,E41000065,2
E41000001,E41000066,1
E41000001,E41000068,7
E41000001,E41000070,2
E41000001,E41000073,1
E41000001,E41000077,1
E41000001,E41000083,1
E41000001,E41000095,2
E41000001,E41000104,1
E41000001,E41000108,2
E41000001,E41000116,2
E41000001,E41000119,1
E41000001,E41000120,6
E41000001,E41000121,3
E41000001,E41000123,1
E41000001,E41000135,2
E41000001,E41000136,2
E41000001,E41000139,1
E41000001,E41000144,1
E41000001,E41000149,1
E41000001,E41000151,6
E41000001,E41000152,1
E41000001,E41000171,1
E41000001,E41000172,1
E41000001,E41000176,1
E41000001,E41000178,1
E41000001,E41000183,1
E41000001,E41000186,2
E41000001,E41000190,3
E41000001,E41000191,1
E41000001,E41000192,10
E41000001,E41000194,1
E41000001,E41000197,5
E41000001,E41000198,2
E41000001,E41000202,1
E41000001,E41000203,1
E41000001,E41000205,1
E41000001,E41000206,3
E41000001,E41000210,4
E41000001,E41000221,1
E41000001,E41000225,2
E41000001,E41000230,1
E41000001,E41000231,3
E41000001,E41000233,3
E41000001,E41000234,1
E41000001,E41000235,2
E41000001,E41000238,1
E41000001,E41000241,2
E41000001,E41000245,1
E41000001,E41000249,1
E41000001,E41000259,2
E41000001,E41000260,1
E41000001,E41000262,1
E41000001,E41000265,1
