Number,lad_id,LAD label,LAD name (Welsh label),mlad_id
1,E06000001,Hartlepool,,E41000001
2,E06000002,Middlesbrough,,E41000002
3,E06000003,Redcar and Cleveland,,E41000003
4,E06000004,Stockton-on-Tees,,E41000004
5,E06000005,Darlington,,E41000005
6,E06000006,Halton,,E41000006
7,E06000007,Warrington,,E41000007
8,E06000008,Blackburn with Darwen,,E41000008
9,E06000009,Blackpool,,E41000009
10,E06000010,Kingston upon Hull,City of,E41000010
11,E06000011,East Riding of Yorkshire,,E41000011
12,E06000012,North East Lincolnshire,,E41000012
13,E06000013,North Lincolnshire,,E41000013
14,E06000014,York,,E41000014
15,E06000015,Derby,,E41000015
16,E06000016,Leicester,,E41000016
17,E06000017,Rutland,,E41000017
18,E06000018,Nottingham,,E41000018
19,E06000019,Herefordshire,County of,E41000019
20,E06000020,Telford and Wrekin,,E41000020
21,E06000021,Stoke-on-Trent,,E41000021
22,E06000022,Bath and North East Somerset,,E41000022
23,E06000023,Bristol,City of,E41000023
24,E06000024,North Somerset,,E41000024
25,E06000025,South Gloucestershire,,E41000025
26,E06000026,Plymouth,,E41000026
27,E06000027,Torbay,,E41000027
28,E06000028,Bournemouth,,E41000028
29,E06000029,Poole,,E41000029
30,E06000030,Swindon,,E41000030
31,E06000031,Peterborough,,E41000031
32,E06000032,Luton,,E41000032
33,E06000033,Southend-on-Sea,,E41000033
34,E06000034,Thurrock,,E41000034
35,E06000035,Medway,,E41000035
36,E06000036,Bracknell Forest,,E41000036
37,E06000037,West Berkshire,,E41000037
38,E06000038,Reading,,E41000038
39,E06000039,Slough,,E41000039
40,E06000040,Windsor and Maidenhead,,E41000040
41,E06000041,Wokingham,,E41000041
42,E06000042,Milton Keynes,,E41000042
43,E06000043,Brighton and Hove,,E41000043
44,E06000044,Portsmouth,,E41000044
45,E06000045,Southampton,,E41000045
46,E06000046,Isle of Wight,,E41000046
47,E06000047,County Durham,,E41000047
48,E06000048,Northumberland,,E41000048
49,E06000049,Cheshire East,,E41000049
50,E06000050,Cheshire West and Chester,,E41000050
51,E06000051,Shropshire,,E41000051
52,E06000054,Wiltshire,,E41000053
53,E06000055,Bedford,,E41000054
54,E06000056,Central Bedfordshire,,E41000055
55,E07000004,Aylesbury Vale,,E41000056
56,E07000005,Chiltern,,E41000057
57,E07000006,South Bucks,,E41000058
58,E07000007,Wycombe,,E41000059
59,E07000008,Cambridge,,E41000060
60,E07000009,East Cambridgeshire,,E41000061
61,E07000010,Fenland,,E41000062
62,E07000011,Huntingdonshire,,E41000063
63,E07000012,South Cambridgeshire,,E41000064
64,E07000026,Allerdale,,E41000065
65,E07000027,Barrow-in-Furness,,E41000066
66,E07000028,Carlisle,,E41000067
67,E07000029,Copeland,,E41000068
68,E07000030,Eden,,E41000069
69,E07000031,South Lakeland,,E41000070
70,E07000032,Amber Valley,,E41000071
71,E07000033,Bolsover,,E41000072
72,E07000034,Chesterfield,,E41000073
73,E07000035,Derbyshire Dales,,E41000074
74,E07000036,Erewash,,E41000075
75,E07000037,High Peak,,E41000076
76,E07000038,North East Derbyshire,,E41000077
77,E07000039,South Derbyshire,,E41000078
78,E07000040,East Devon,,E41000079
79,E07000041,Exeter,,E41000080
80,E07000042,Mid Devon,,E41000081
81,E07000043,North Devon,,E41000082
82,E07000044,South Hams,,E41000083
83,E07000045,Teignbridge,,E41000084
84,E07000046,Torridge,,E41000085
85,E07000047,West Devon,,E41000086
86,E07000048,Christchurch,,E41000087
87,E07000049,East Dorset,,E41000088
88,E07000050,North Dorset,,E41000089
