"date","geography","geography code","Rural Urban","Age: All usual residents; measures: Value","Age: Age 0 to 4; measures: Value","Age: Age 5 to 7; measures: Value","Age: Age 8 to 9; measures: Value","Age: Age 10 to 14; measures: Value","Age: Age 15; measures: Value","Age: Age 16 to 17; measures: Value","Age: Age 18 to 19; measures: Value","Age: Age 20 to 24; measures: Value","Age: Age 25 to 29; measures: Value","Age: Age 30 to 44; measures: Value","Age: Age 45 to 59; measures: Value","Age: Age 60 to 64; measures: Value","Age: Age 65 to 74; measures: Value","Age: Age 75 to 84; measures: Value","Age: Age 85 to 89; measures: Value","Age: Age 90 and over; measures: Value","Age: Mean Age; measures: Value","Age: Median Age; measures: Value"
"2011","E00062207","E00062207","Total",242,14,6,4,12,2,6,4,7,9,35,71,24,24,15,6,3,45.1,47.0
"2011","E00062208","E00062208","Total",490,47,33,15,35,7,13,11,10,17,129,82,25,39,20,5,2,35.8,38.0
"2011","E00062209","E00062209","Total",226,13,14,7,10,4,8,2,4,5,33,49,34,31,9,2,1,43.8,48.5
"2011","E00062210","E00062210","Total",113,9,6,1,4,2,2,0,5,2,20,27,3,15,14,1,2,45.5,49.0
"2011","E00062211","E00062211","Total",143,10,0,3,6,1,5,3,5,9,29,30,9,20,5,6,2,44.3,45.0
"2011","E00062212","E00062212","Total",240,10,8,7,13,4,7,2,12,1,47,61,28,19,18,3,0,43.5,46.0
"2011","E00174202","E00174202","Total",380,23,36,14,40,8,7,8,12,8,120,80,14,9,1,0,0,31.4,36.0
"2011","E00174206","E00174206","Total",353,27,25,24,30,5,4,3,17,10,114,80,12,2,0,0,0,30.4,35.0
"2011","E00174208","E00174208","Total",279,8,6,5,19,5,2,2,3,8,44,74,41,35,22,4,1,48.0,51.0
"2011","E00062202","E00062202","Total",262,13,8,4,11,3,7,6,13,11,45,53,28,32,22,4,2,45.3,48.0
"2011","E00062203","E00062203","Total",273,8,9,5,22,6,4,3,10,7,55,56,23,36,18,8,3,44.9,46.0
"2011","E00062204","E00062204","Total",292,8,9,4,20,10,7,4,5,6,42,79,33,45,15,5,0,45.9,51.0
"2011","E00062205","E00062205","Total",272,11,8,5,8,3,4,3,9,4,42,50,25,55,38,6,1,51.2,56.0
"2011","E00062206","E00062206","Total",284,18,12,1,20,4,8,3,10,7,52,59,21,47,21,0,1,43.6,46.0
"2011","E00062379","E00062379","Total",366,12,9,9,22,7,13,9,18,10,62,97,29,46,11,10,2,43.5,47.0
"2011","E00062380","E00062380","Total",154,7,2,3,7,1,3,7,12,5,23,41,10,14,14,4,1,44.6,47.0
"2011","E00062381","E00062381","Total",125,1,3,0,7,3,8,1,5,2,22,29,22,16,4,2,0,46.7,54.0
"2011","E00062382","E00062382","Total",211,13,13,3,10,3,5,3,10,8,40,56,15,14,12,6,0,41.1,43.0
"2011","E00062383","E00062383","Total",193,3,3,5,10,3,12,7,8,6,27,53,10,43,3,0,0,44.0,48.0
"2011","E00062384","E00062384","Total",337,21,12,9,16,6,5,8,6,17,71,72,30,33,23,5,3,42.4,44.0
"2011","E00062385","E00062385","Total",354,9,8,5,8,3,6,3,15,16,42,94,45,63,28,9,0,49.9,55.0
"2011","E00062386","E00062386","Total",268,6,11,6,7,4,8,7,21,10,39,65,22,35,23,3,1,44.9,48.0
"2011","E00174203","E00174203","Total",204,14,6,4,9,1,3,4,18,40,63,30,5,5,1,0,1,32.1,30.0
"2011","E00174204","E00174204","Total",308,29,24,10,11,2,5,7,12,29,107,48,10,14,0,0,0,31.2,32.0
"2011","E00174205","E00174205","Total",325,44,19,8,19,9,10,11,27,48,89,34,3,3,0,1,0,25.9,26.0
"2011","E00174207","E00174207","Total",308,51,12,9,17,3,9,4,5,27,132,33,3,2,1,0,0,27.1,31.0
"2011","E00174210","E00174210","Total",219,16,7,2,5,0,3,4,15,21,55,43,10,29,8,1,0,39.6,38.0
"2011","E00062133","E00062133","Total",455,52,22,9,34,8,11,4,17,16,136,101,26,14,5,0,0,33.1,36.0
"2011","E00062134","E00062134","Total",429,32,23,10,23,7,14,6,18,12,142,91,15,31,5,0,0,35.0,37.0
"2011","E00062136","E00062136","Total",250,15,6,4,11,0,4,7,15,18,58,60,7,31,10,2,2,40.8,41.0
