"date","geography","geography code","Rural Urban","Household Composition: All categories: Household composition; measures: Value","Household Composition: One person household; measures: Value","Household Composition: One person household: Aged 65 and over; measures: Value","Household Composition: One person household: Other; measures: Value","Household Composition: One family household; measures: Value","Household Composition: One family only: All aged 65 and over; measures: Value","Household Composition: One family only: Married or same-sex civil partnership couple; measures: Value","Household Composition: One family only: Married or same-sex civil partnership couple: No children; measures: Value","Household Composition: One family only: Married or same-sex civil partnership couple: Dependent children; measures: Value","Household Composition: One family only: Married or same-sex civil partnership couple: All children non-dependent; measures: Value","Household Composition: One family only: Cohabiting couple; measures: Value","Household Composition: One family only: Cohabiting couple: No children; measures: Value","Household Composition: One family only: Cohabiting couple: Dependent children; measures: Value","Household Composition: One family only: Cohabiting couple: All children non-dependent; measures: Value","Household Composition: One family only: Lone parent; measures: Value","Household Composition: One family only: Lone parent: Dependent children; measures: Value","Household Composition: One family only: Lone parent: All children non-dependent; measures: Value","Household Composition: Other household types; measures: Value","Household Composition: Other household types: With dependent children; measures: Value","Household Composition: Other household types: All full-time students; measures: Value","Household Composition: Other household types: All aged 65 and over; measures: Value","Household Composition: Other household types: Other; measures: Value"
"2011","E00062207","E00062207","Total",114,35,15,20,77,11,44,21,17,6,7,3,4,0,15,8,7,2,1,0,0,1
"2011","E00062208","E00062208","Total",174,32,18,14,131,18,91,26,57,8,16,11,5,0,6,5,1,11,7,0,0,4
"2011","E00062209","E00062209","Total",94,24,11,13,68,12,45,22,18,5,8,6,2,0,3,3,0,2,2,0,0,0
"2011","E00062210","E00062210","Total",52,18,14,4,33,8,15,6,6,3,6,3,3,0,4,2,2,1,1,0,0,0
"2011","E00062211","E00062211","Total",60,13,6,7,43,9,23,10,7,6,6,2,4,0,5,3,2,4,2,0,0,2
"2011","E00062212","E00062212","Total",99,21,9,12,70,9,49,22,19,8,6,4,1,1,6,5,1,8,3,0,0,5
"2011","E00174202","E00174202","Total",123,10,1,9,106,0,91,24,60,7,9,3,5,1,6,6,0,7,5,0,0,2
"2011","E00174206","E00174206","Total",123,12,1,11,103,0,67,21,42,4,22,13,8,1,14,13,1,8,4,0,0,4
"2011","E00174208","E00174208","Total",123,27,10,17,90,18,66,36,23,7,6,4,2,0,0,0,0,6,2,0,0,4
"2011","E00062202","E00062202","Total",118,35,14,21,80,19,52,23,21,8,5,3,2,0,4,3,1,3,1,0,0,2
"2011","E00062203","E00062203","Total",135,60,30,30,73,9,39,13,18,8,10,5,5,0,15,9,6,2,1,0,0,1
"2011","E00062204","E00062204","Total",120,21,13,8,95,19,63,29,26,8,7,3,4,0,6,3,3,4,1,0,0,3
"2011","E00062205","E00062205","Total",124,26,18,8,98,36,50,25,18,7,7,5,2,0,5,1,4,0,0,0,0,0
"2011","E00062206","E00062206","Total",123,34,23,11,86,20,48,20,23,5,10,4,6,0,8,5,3,3,2,0,0,1
"2011","E00062379","E00062379","Total",150,39,19,20,102,17,69,23,31,15,8,5,2,1,8,6,2,9,4,0,1,4
"2011","E00062380","E00062380","Total",66,14,6,8,50,10,27,12,10,5,6,4,2,0,7,2,5,2,1,0,0,1
"2011","E00062381","E00062381","Total",53,8,4,4,44,4,34,22,9,3,3,3,0,0,3,2,1,1,1,0,0,0
"2011","E00062382","E00062382","Total",83,19,7,12,59,10,35,10,18,7,12,11,1,0,2,2,0,5,4,0,0,1
"2011","E00062383","E00062383","Total",77,14,8,6,59,13,38,16,12,10,3,1,1,1,5,5,0,4,2,0,0,2
"2011","E00062384","E00062384","Total",162,56,28,28,103,12,54,26,20,8,13,10,3,0,24,16,8,3,1,0,0,2
"2011","E00062385","E00062385","Total",159,29,11,18,123,31,73,38,15,20,9,8,1,0,10,7,3,7,1,0,0,6
"2011","E00062386","E00062386","Total",110,20,9,11,87,20,49,23,15,11,10,6,2,2,8,8,0,3,1,0,1,1
"2011","E00174203","E00174203","Total",95,38,3,35,54,1,25,10,14,1,24,20,4,0,4,3,1,3,1,0,0,2
"2011","E00174204","E00174204","Total",121,24,5,19,96,4,63,20,36,7,20,16,4,0,9,7,2,1,1,0,0,0
"2011","E00174205","E00174205","Total",117,15,0,15,96,1,63,16,42,5,12,7,5,0,20,18,2,6,2,0,0,4
"2011","E00174207","E00174207","Total",115,19,1,18,91,0,63,18,40,5,16,9,7,0,12,12,0,5,2,0,0,3
"2011","E00174210","E00174210","Total",106,35,8,27,63,12,31,15,11,5,16,12,4,0,4,3,1,8,3,0,0,5
"2011","E00062133","E00062133","Total",169,29,7,22,134,4,95,34,57,4,22,14,7,1,13,12,1,6,4,0,0,2
"2011","E00062134","E00062134","Total",169,40,2,38,124,10,85,21,51,13,16,7,8,1,13,7,6,5,3,0,0,2
"2011","E00062136","E00062136","Total",123,49,21,28,73,10,40,15,15,10,13,9,3,1,10,6,4,1,0,0,0,1
"2011","E00174209","E00174209","Total",89,17,2,15,70,3,46,8,34,4,13,8,5,0,8,6,2,2,0,0,0,2
"2011","E00174212","E00174212","Total",100,25,4,21,72,4,43,15,22,6,13,6,7,0,12,10,2,3,1,0,0,2
"2011","E00062138","E00062138","Total",140,54,11,43,77,11,34,9,18,7,16,11,5,0,16,11,5,9,4,0,0,5
"2011","E00062139","E00062139","Total",123,22,4,18,97,3,63,20,39,4,17,8,8,1,14,9,5,4,3,0,0,1
"2011","E00062143","E00062143","Total",137,36,15,21,94,16,46,15,20,11,13,3,9,1,19,12,7,7,5,0,0,2
"2011","E00062148","E00062148","Total",133,41,14,27,88,5,44,19,18,7,24,14,10,0,15,13,2,4,3,0,0,1
"2011","E00062152","E00062152","Total",124,24,9,15,94,16,50,19,20,11,13,7,6,0,15,13,2,6,3,0,0,3
"2011","E00062140","E00062140","Total",134,42,16,26,85,11,42,21,13,8,16,10,6,0,16,8,8,7,3,0,0,4
"2011","E00062149","E00062149","Total",114,28,12,16,83,10,40,18,14,8,19,6,13,0,14,10,4,3,0,0,0,3
"2011","E00062150","E00062150","Total",121,35,16,19,85,14,49,19,21,9,9,2,7,0,13,8,5,1,1,0,0,0
"2011","E00062151","E00062151","Total",135,36,17,19,97,17,47,19,19,9,15,10,5,0,18,9,9,2,0,0,0,2
"2011","E00062153","E00062153","Total",123,40,21,19,79,12,36,15,10,11,14,3,10,1,17,12,5,4,3,0,1,0
"2011","E00062141","E00062141","Total",118,36,14,22,78,6,48,17,17,14,19,10,9,0,5,3,2,4,1,0,1,2
"2011","E00062142","E00062142","Total",142,32,17,15,107,13,50,21,13,16,15,3,7,5,29,19,10,3,3,0,0,0
"2011","E00062146","E00062146","Total",139,31,11,20,97,11,39,15,17,7,24,7,15,2,23,12,11,11,3,0,2,6
"2011","E00062147","E00062147","Total",126,33,9,24,85,5,53,13,33,7,14,6,8,0,13,8,5,8,2,0,0,6
"2011","E00062144","E00062144","Total",125,32,23,9,85,14,54,26,16,12,11,6,5,0,6,5,1,8,1,0,1,6
"2011","E00062145","E00062145","Total",126,22,14,8,103,25,62,26,18,18,9,3,3,3,7,6,1,1,1,0,0,0
"2011","E00062154","E00062154","Total",154,29,14,15,119,10,91,31,47,13,12,8,3,1,6,3,3,6,4,0,0,2
"2011","E00062155","E00062155","Total",120,19,11,8,96,17,60,28,18,14,9,3,5,1,10,5,5,5,4,0,0,1
"2011","E00062156","E00062156","Total",177,29,10,19,139,12,96,32,53,11,18,8,9,1,13,12,1,9,4,0,0,5
"2011","E00062171","E00062171","Total",143,73,18,55,64,11,35,22,11,2,11,7,3,1,7,5,2,6,3,0,0,3
"2011","E00062174","E00062174","Total",115,30,13,17,79,11,49,28,15,6,7,3,4,0,12,9,3,6,3,0,1,2
"2011","E00062175","E00062175","Total",124,45,14,31,76,4,41,18,20,3,18,9,8,1,13,12,1,3,1,0,0,2
"2011","E00062176","E00062176","Total",133,54,12,42,71,10,35,23,8,4,14,11,3,0,12,7,5,8,1,0,2,5
"2011","E00062177","E00062177","Total",117,38,6,32,76,0,29,11,15,3,9,3,5,1,38,28,10,3,1,0,0,2
"2011","E00062179","E00062179","Total",136,48,26,22,85,14,36,19,10,7,16,11,5,0,19,14,5,3,1,0,2,0
"2011","E00062172","E00062172","Total",122,28,23,5,90,22,58,36,14,8,6,2,4,0,4,3,1,4,2,0,0,2
"2011","E00062173","E00062173","Total",134,27,14,13,105,12,68,37,20,11,12,4,6,2,13,9,4,2,0,0,0,2
"2011","E00062178","E00062178","Total",138,27,9,18,105,13,76,39,20,17,8,4,3,1,8,3,5,6,1,0,0,5
"2011","E00062180","E00062180","Total",130,35,21,14,91,18,63,34,19,10,6,4,2,0,4,2,2,4,2,0,0,2
"2011","E00062181","E00062181","Total",120,22,11,11,91,14,57,25,19,13,9,4,5,0,11,7,4,7,3,0,0,4
"2011","E00062182","E00062182","Total",132,30,15,15,99,23,58,26,20,12,12,7,4,1,6,5,1,3,0,0,0,3
"2011","E00062183","E00062183","Total",114,12,3,9,98,6,80,25,42,13,5,5,0,0,7,6,1,4,3,0,0,1
"2011","E00062185","E00062185","Total",110,19,9,10,90,12,54,22,19,13,9,3,5,1,15,10,5,1,1,0,0,0
"2011","E00062196","E00062196","Total",112,17,2,15,92,2,70,26,31,13,11,9,2,0,9,9,0,3,1,0,0,2
"2011","E00062200","E00062200","Total",122,41,27,14,78,26,43,24,12,7,5,3,1,1,4,2,2,3,1,0,0,2
"2011","E00062184","E00062184","Total",137,30,17,13,103,12,64,33,19,12,15,9,6,0,12,9,3,4,1,0,1,2
"2011","E00062186","E00062186","Total",129,38,13,25,85,7,32,13,11,8,20,8,12,0,26,21,5,6,1,0,1,4
"2011","E00062197","E00062197","Total",139,18,4,14,116,13,76,34,34,8,12,5,6,1,15,10,5,5,0,0,0,5
