"date","geography","geography code","Household Composition: All categories: Household composition; Bedrooms: All categories: Number of bedrooms; measures: Value","Household Composition: All categories: Household composition; Bedrooms: 1 bedroom; measures: Value","Household Composition: All categories: Household composition; Bedrooms: 2 bedrooms; measures: Value","Household Composition: All categories: Household composition; Bedrooms: 3 bedrooms; measures: Value","Household Composition: All categories: Household composition; Bedrooms: 4 or more bedrooms; measures: Value","Household Composition: One person household; Bedrooms: All categories: Number of bedrooms; measures: Value","Household Composition: One person household; Bedrooms: 1 bedroom; measures: Value","Household Composition: One person household; Bedrooms: 2 bedrooms; measures: Value","Household Composition: One person household; Bedrooms: 3 bedrooms; measures: Value","Household Composition: One person household; Bedrooms: 4 or more bedrooms; measures: Value","Household Composition: One family only: Total; Bedrooms: All categories: Number of bedrooms; measures: Value","Household Composition: One family only: Total; Bedrooms: 1 bedroom; measures: Value","Household Composition: One family only: Total; Bedrooms: 2 bedrooms; measures: Value","Household Composition: One family only: Total; Bedrooms: 3 bedrooms; measures: Value","Household Composition: One family only: Total; Bedrooms: 4 or more bedrooms; measures: Value","Household Composition: One family only: All aged 65 and over; Bedrooms: All categories: Number of bedrooms; measures: Value","Household Composition: One family only: All aged 65 and over; Bedrooms: 1 bedroom; measures: Value","Household Composition: One family only: All aged 65 and over; Bedrooms: 2 bedrooms; measures: Value","Household Composition: One family only: All aged 65 and over; Bedrooms: 3 bedrooms; measures: Value","Household Composition: One family only: All aged 65 and over; Bedrooms: 4 or more bedrooms; measures: Value","Household Composition: One family only: Married, same-sex civil partnership or cohabiting couple; Bedrooms: All categories: Number of bedrooms; measures: Value","Household Composition: One family only: Married, same-sex civil partnership or cohabiting couple; Bedrooms: 1 bedroom; measures: Value","Household Composition: One family only: Married, same-sex civil partnership or cohabiting couple; Bedrooms: 2 bedrooms; measures: Value","Household Composition: One family only: Married, same-sex civil partnership or cohabiting couple; Bedrooms: 3 bedrooms; measures: Value","Household Composition: One family only: Married, same-sex civil partnership or cohabiting couple; Bedrooms: 4 or more bedrooms; measures: Value","Household Composition: One family only: Lone parent; Bedrooms: All categories: Number of bedrooms; measures: Value","Household Composition: One family only: Lone parent; Bedrooms: 1 bedroom; measures: Value","Household Composition: One family only: Lone parent; Bedrooms: 2 bedrooms; measures: Value","Household Composition: One family only: Lone parent; Bedrooms: 3 bedrooms; measures: Value","Household Composition: One family only: Lone parent; Bedrooms: 4 or more bedrooms; measures: Value","Household Composition: Other household types; Bedrooms: All categories: Number of bedrooms; measures: Value","Household Composition: Other household types; Bedrooms: 1 bedroom; measures: Value","Household Composition: Other household types; Bedrooms: 2 bedrooms; measures: Value","Household Composition: Other household types; Bedrooms: 3 bedrooms; measures: Value","Household Composition: Other household types; Bedrooms: 4 or more bedrooms; measures: Value"
"2011","E00062207","E00062207",114,4,25,50,35,35,1,9,19,6,77,3,15,31,28,11,2,2,2,5,51,1,11,20,19,15,0,2,9,4,2,0,1,0,1
"2011","E00062208","E00062208",174,3,14,51,106,32,1,4,13,14,131,2,10,36,83,18,0,4,8,6,107,2,5,25,75,6,0,1,3,2,11,0,0,2,9
"2011","E00062209","E00062209",94,0,16,32,46,24,0,10,8,6,68,0,6,23,39,12,0,3,4,5,53,0,2,19,32,3,0,1,0,2,2,0,0,1,1
"2011","E00062210","E00062210",52,4,11,19,18,18,2,5,8,3,33,2,6,11,14,8,2,2,3,1,21,0,3,7,11,4,0,1,1,2,1,0,0,0,1
"2011","E00062211","E00062211",60,0,23,21,16,13,0,8,4,1,43,0,14,17,12,9,0,4,3,2,29,0,8,11,10,5,0,2,3,0,4,0,1,0,3
"2011","E00062212","E00062212",99,1,12,42,44,21,1,7,8,5,70,0,5,30,35,9,0,2,4,3,55,0,2,25,28,6,0,1,1,4,8,0,0,4,4
"2011","E00174202","E00174202",123,1,1,13,108,10,0,1,2,7,106,1,0,10,95,0,0,0,0,0,100,1,0,9,90,6,0,0,1,5,7,0,0,1,6
"2011","E00174206","E00174206",123,1,11,24,87,12,1,2,5,4,103,0,8,18,77,0,0,0,0,0,89,0,5,15,69,14,0,3,3,8,8,0,1,1,6
"2011","E00174208","E00174208",123,6,16,56,45,27,1,6,12,8,90,5,9,41,35,18,4,2,10,2,72,1,7,31,33,0,0,0,0,0,6,0,1,3,2
"2011","E00062202","E00062202",118,3,33,34,48,35,3,18,6,8,80,0,15,27,38,19,0,3,8,8,57,0,9,19,29,4,0,3,0,1,3,0,0,1,2
"2011","E00062203","E00062203",135,23,37,55,20,60,19,19,20,2,73,4,18,35,16,9,1,2,3,3,49,2,13,22,12,15,1,3,10,1,2,0,0,0,2
"2011","E00062204","E00062204",120,1,13,68,38,21,0,3,15,3,95,1,10,51,33,19,1,3,11,4,70,0,7,35,28,6,0,0,5,1,4,0,0,2,2
"2011","E00062205","E00062205",124,0,32,67,25,26,0,13,11,2,98,0,19,56,23,36,0,13,19,4,57,0,5,35,17,5,0,1,2,2,0,0,0,0,0
"2011","E00062206","E00062206",123,1,6,95,21,34,0,4,29,1,86,1,2,63,20,20,0,0,18,2,58,1,2,40,15,8,0,0,5,3,3,0,0,3,0
"2011","E00062379","E00062379",150,15,21,47,67,39,13,8,11,7,102,2,12,33,55,17,1,5,2,9,77,1,6,25,45,8,0,1,6,1,9,0,1,3,5
"2011","E00062380","E00062380",66,1,15,28,22,14,1,7,4,2,50,0,8,23,19,10,0,4,4,2,33,0,4,14,15,7,0,0,5,2,2,0,0,1,1
