"date","geography","geography code","Rural Urban","Variable: All usual residents; measures: Value","Variable: Males; measures: Value","Variable: Females; measures: Value","Variable: Lives in a household; measures: Value","Variable: Lives in a communal establishment; measures: Value","Variable: Schoolchild or full-time student aged 4 and over at their non term-time address; measures: Value","Variable: Area (Hectares); measures: Value","Variable: Density (number of persons per hectare); measures: Value"
"2011","E00062207","E00062207","Total",242,116,126,242,0,7,865.24,0.3
"2011","E00062208","E00062208","Total",490,246,244,490,0,5,383.28,1.3
"2011","E00062209","E00062209","Total",226,113,113,226,0,8,34.60,6.5
"2011","E00062210","E00062210","Total",113,57,56,113,0,2,394.46,0.3
"2011","E00062211","E00062211","Total",143,65,78,143,0,3,592.57,0.2
"2011","E00062212","E00062212","Total",240,122,118,240,0,2,2129.38,0.1
"2011","E00174202","E00174202","Total",380,187,193,380,0,7,441.68,0.9
"2011","E00174206","E00174206","Total",353,172,181,353,0,3,41.36,8.5
"2011","E00174208","E00174208","Total",279,142,137,279,0,5,1151.01,0.2
"2011","E00062202","E00062202","Total",262,129,133,262,0,9,32.00,8.2
"2011","E00062203","E00062203","Total",273,134,139,273,0,1,46.05,5.9
"2011","E00062204","E00062204","Total",292,143,149,292,0,5,14.69,19.9
"2011","E00062205","E00062205","Total",272,131,141,272,0,3,12.96,21.0
"2011","E00062206","E00062206","Total",284,145,139,284,0,3,8.31,34.2
"2011","E00062379","E00062379","Total",366,182,184,366,0,7,879.82,0.4
"2011","E00062380","E00062380","Total",154,76,78,154,0,3,981.60,0.2
"2011","E00062381","E00062381","Total",125,62,63,125,0,1,702.45,0.2
"2011","E00062382","E00062382","Total",211,102,109,211,0,2,1516.54,0.1
"2011","E00062383","E00062383","Total",193,95,98,193,0,7,1312.94,0.1
"2011","E00062384","E00062384","Total",337,150,187,337,0,0,74.70,4.5
"2011","E00062385","E00062385","Total",354,175,179,354,0,8,769.07,0.5
"2011","E00062386","E00062386","Total",268,130,138,268,0,2,481.04,0.6
"2011","E00174203","E00174203","Total",204,99,105,190,14,2,24.86,8.2
"2011","E00174204","E00174204","Total",308,155,153,308,0,5,13.32,23.1
"2011","E00174205","E00174205","Total",325,166,159,325,0,7,101.43,3.2
"2011","E00174207","E00174207","Total",308,151,157,308,0,7,3.43,89.8
"2011","E00174210","E00174210","Total",219,109,110,219,0,0,3.91,56.0
"2011","E00062133","E00062133","Total",455,225,230,455,0,5,130.47,3.5
"2011","E00062134","E00062134","Total",429,222,207,429,0,7,7.94,54.0
"2011","E00062136","E00062136","Total",250,118,132,250,0,1,3.60,69.4
"2011","E00174209","E00174209","Total",255,125,130,255,0,2,27.78,9.2
"2011","E00174212","E00174212","Total",232,120,112,232,0,1,64.52,3.6
"2011","E00062138","E00062138","Total",302,157,145,302,0,1,3.62,83.4
