"date","geography","geography code","Rural Urban","Variable: All usual residents; measures: Value","Variable: Males; measures: Value","Variable: Females; measures: Value","Variable: Lives in a household; measures: Value","Variable: Lives in a communal establishment; measures: Value","Variable: Schoolchild or full-time student aged 4 and over at their non term-time address; measures: Value","Variable: Area (Hectares); measures: Value","Variable: Density (number of persons per hectare); measures: Value"
"2011","AL1  1","AL1  1","Total",5453,2715,2738,5408,45,75,225.63,24.2
"2011","AL1  2","AL1  2","Total",6523,3183,3340,6418,105,77,286.59,22.8
"2011","AL1  3","AL1  3","Total",4179,2121,2058,4100,79,46,97.12,43.0
"2011","AL1  4","AL1  4","Total",9799,4845,4954,9765,34,285,244.75,40.0
"2011","AL1  5","AL1  5","Total",10226,5129,5097,10211,15,133,200.93,50.9
"2011","AL10 0","AL10 0","Total",9935,5039,4896,9855,80,60,243.62,40.8
"2011","AL10 8","AL10 8","Total",10998,5648,5350,10833,165,122,216.76,50.7
"2011","AL10 9","AL10 9","Total",14967,7640,7327,12219,2748,185,1563.16,9.6
"2011","AL2  1","AL2  1","Total",9507,4661,4846,9440,67,107,512.98,18.5
"2011","AL2  2","AL2  2","Total",6130,3058,3072,6034,96,76,937.54,6.5
"2011","AL2  3","AL2  3","Total",7967,3877,4090,7863,104,168,2284.36,3.5
"2011","AL3  4","AL3  4","Total",5565,2763,2802,5500,65,131,302.42,18.4
"2011","AL3  5","AL3  5","Total",8831,4200,4631,8604,227,173,228.02,38.7
"2011","AL3  6","AL3  6","Total",4281,2070,2211,4271,10,81,1400.81,3.1
"2011","AL3  7","AL3  7","Total",5344,2582,2762,5284,60,85,1908.57,2.8
"2011","AL3  8","AL3  8","Total",4441,2215,2226,4402,39,74,2963.95,1.5
"2011","AL4  0","AL4  0","Total",9308,4717,4591,9215,93,168,1199.86,7.8
"2011","AL4  8","AL4  8","Total",6509,3108,3401,6504,5,178,2581.33,2.5
"2011","AL4  9","AL4  9","Total",11451,5563,5888,11383,68,255,1518.78,7.5
"2011","AL5  1","AL5  1","Total",6090,3016,3074,6074,16,187,245.11,24.8
"2011","AL5  2","AL5  2","Total",4676,2270,2406,4622,54,248,445.18,10.5
"2011","AL5  3","AL5  3","Total",4659,2272,2387,4631,28,174,1068.25,4.4
"2011","AL5  4","AL5  4","Total",6450,3121,3329,6101,349,163,286.23,22.5
"2011","AL5  5","AL5  5","Total",8365,4094,4271,8279,86,180,265.47,31.5
"2011","AL6  0","AL6  0","Total",6434,3155,3279,6416,18,204,1560.36,4.1
"2011","AL6  9","AL6  9","Total",4788,2340,2448,4688,100,113,1750.96,2.7
"2011","AL7  1","AL7  1","Total",5761,2789,2972,5761,0,64,260.12,22.1
"2011","AL7  2","AL7  2","Total",7395,3715,3680,7342,53,102,229.93,32.2
"2011","AL7  3","AL7  3","Total",10114,4842,5272,10008,106,67,244.47,41.4
"2011","AL7  4","AL7  4","Total",10620,5156,5464,10563,57,122,328.64,32.3
"2011","AL8  6","AL8  6","Total",5869,2750,3119,5869,0,106,262.73,22.3
"2011","AL8  7","AL8  7","Total",7383,3495,3888,7316,67,131,601.94,12.3
"2011","AL9  5","AL9  5","Total",2085,1014,1071,2054,31,26,1347.81,1.5
"2011","AL9  6","AL9  6","Total",1427,610,817,1217,210,46,1811.33,0.8
"2011","AL9  7","AL9  7","Total",6897,3328,3569,6803,94,162,1419.24,4.9
"2011","B1   1","B1   1","Total",4099,2340,1759,3402,697,46,32.78,125.0
"2011","B1   2","B1   2","Total",2897,1584,1313,2693,204,19,49.12,59.0
"2011","B1   3","B1   3","Total",993,581,412,993,0,3,19.54,50.8
"2011","B10  0","B10  0","Total",8206,4236,3970,8187,19,39,143.13,57.3
"2011","B10  9","B10  9","Total",17702,8800,8902,17691,11,99,163.87,108.0
"2011","B11  1","B11  1","Total",11688,5989,5699,11625,63,70,157.80,74.1
"2011","B11  2","B11  2","Total",3479,1748,1731,3469,10,16,138.39,25.1
"2011","B11  3","B11  3","Total",17242,8608,8634,17226,16,119,225.79,76.4
"2011","B11  4","B11  4","Total",12295,6210,6085,12263,32,107,106.67,115.3
"2011","B12  0","B12  0","Total",4129,2227,1902,4072,57,12,103.70,39.8
"2011","B12  8","B12  8","Total",8748,4443,4305,8696,52,75,101.90,85.8
"2011","B12  9","B12  9","Total",7878,3975,3903,7771,107,77,97.28,81.0
