"date","geography","geography code","Rural Urban","Age: All usual residents; measures: Value","Age: Age 0 to 4; measures: Value","Age: Age 5 to 7; measures: Value","Age: Age 8 to 9; measures: Value","Age: Age 10 to 14; measures: Value","Age: Age 15; measures: Value","Age: Age 16 to 17; measures: Value","Age: Age 18 to 19; measures: Value","Age: Age 20 to 24; measures: Value","Age: Age 25 to 29; measures: Value","Age: Age 30 to 44; measures: Value","Age: Age 45 to 59; measures: Value","Age: Age 60 to 64; measures: Value","Age: Age 65 to 74; measures: Value","Age: Age 75 to 84; measures: Value","Age: Age 85 to 89; measures: Value","Age: Age 90 and over; measures: Value","Age: Mean Age; measures: Value","Age: Median Age; measures: Value"
"2011","AL - St Albans","AL - St Albans","Total",250427,17091,9330,5772,14972,3033,6331,6784,17737,15576,53948,48363,13352,18870,13617,3692,1959,38.4,38.0
"2011","B - Birmingham","B - Birmingham","Total",1904658,132898,75378,46958,124355,25517,51557,55602,142919,136571,387129,342445,98940,147953,98235,25348,12853,37.4,36.0
"2011","BA - Bath","BA - Bath","Total",434166,24343,14007,9053,25591,5565,11418,12966,29790,24181,80927,87144,28722,41421,27054,7826,4158,40.8,41.0
"2011","BB - Blackburn","BB - Blackburn","Total",488917,33615,18886,11925,31181,6825,13175,11834,30380,32423,97766,94348,30803,40906,25065,6525,3260,38.6,38.0
"2011","BD - Bradford","BD - Bradford","Total",578336,44064,24541,15669,39538,8125,15625,15023,38828,41915,119363,105038,31011,41301,27434,7314,3547,36.7,35.0
"2011","BH - Bournemouth","BH - Bournemouth","Total",551987,28466,15715,10011,28210,6066,12117,13793,34978,32073,101968,106062,38194,58833,44178,13686,7637,43.3,44.0
"2011","BL - Bolton","BL - Bolton","Total",380259,24931,13981,8906,24065,4944,10190,9159,23813,24291,77348,74589,23937,33373,19357,5022,2353,38.9,39.0
"2011","BN - Brighton","BN - Brighton","Total",802831,43632,24782,15690,42345,8753,18086,21317,54345,49591,161671,153770,50348,76483,55269,16802,9947,41.6,41.0
"2011","BR - Bromley","BR - Bromley","Total",299293,19108,10891,6807,18444,3764,7904,6180,15413,16512,63139,60410,18215,25705,18940,5133,2728,40.2,41.0
"2011","BS - Bristol","BS - Bristol","Total",940241,59613,31430,19458,51991,10976,21906,25980,71472,68497,194913,175991,54278,79346,51776,14686,7928,39.1,38.0
"2011","CA - Carlisle","CA - Carlisle","Total",318244,16639,9792,6215,17516,3784,7702,7555,16910,17265,58855,69259,23760,33949,21096,5305,2642,42.5,44.0
"2011","CB - Cambridge","CB - Cambridge","Total",421467,25692,14128,8700,22763,4833,9897,12682,33733,31171,91424,78721,24000,32785,21508,6114,3316,38.6,37.0
"2011","CH - Chester","CH - Chester","Total",659743,38000,21735,13794,38314,8105,16777,16061,39686,38099,125013,136686,45057,64921,41548,10488,5459,41.1,42.0
"2011","CM - Chelmsford","CM - Chelmsford","Total",653492,39599,22930,14830,39926,8197,17387,13963,34988,37407,135586,135470,42209,57786,38043,9877,5294,40.3,41.0
"2011","CO - Colchester","CO - Colchester","Total",411418,22716,13138,8310,23246,4813,9914,10459,25118,21975,75215,80389,30134,44733,28894,8016,4348,42.2,43.0
"2011","CR - Croydon","CR - Croydon","Total",405982,30293,15937,9629,26098,5523,11399,9791,26008,30428,90976,78489,19862,26941,17629,4568,2411,36.7,36.0
"2011","CT - Canterbury","CT - Canterbury","Total",482504,26947,15282,9915,28732,6022,12343,15839,34600,26539,83890,92857,33563,48987,32014,9473,5501,41.3,42.0
"2011","CV - Coventry","CV - Coventry","Total",821807,51761,27939,17693,46861,10220,20086,24108,61414,55115,165152,156378,48269,73144,44965,12304,6398,39.2,39.0
"2011","CW - Crewe","CW - Crewe","Total",309489,17742,10680,6598,18129,3836,8003,7490,16809,16685,60917,65699,21616,30280,17885,4753,2367,41.0,42.0
"2011","DA - Dartford","DA - Dartford","Total",430560,28005,15924,10005,27210,5978,11880,10498,27296,27593,88648,84464,24288,34988,24550,6097,3136,38.9,39.0
"2011","DE - Derby","DE - Derby","Total",730620,44686,25331,16140,43565,9250,18643,17874,45484,44186,147239,146861,46449,66410,41952,10991,5559,40.0,40.0
"2011","DH - Durham","DH - Durham","Total",309211,16962,9341,6024,16508,3425,7130,10081,23492,18921,58667,63710,20814,30221,17664,4295,1956,40.5,41.0
"2011","DL - Darlington","DL - Darlington","Total",360975,20745,11891,7340,20652,4310,8869,9008,21595,21132,67347,76090,25507,35823,22148,5674,2844,41.2,42.0
"2011","DN - Doncaster","DN - Doncaster","Total",755713,46137,25839,16154,43757,9601,19397,17937,45860,46598,143430,157319,50112,71484,45314,11289,5485,40.5,41.0
"2011","DT - Dorchester","DT - Dorchester","Total",213203,10238,6087,4124,12072,2707,5743,4718,10524,9142,35115,45156,17141,25988,16985,4762,2701,44.4,46.0
"2011","DY - Dudley","DY - Dudley","Total",410598,24447,14194,9084,24239,5358,10399,9566,23245,24085,80264,80425,27225,43093,25553,6273,3148,40.9,41.0
"2011","E - London E","E - London E","Total",990035,77499,39250,23759,56869,11652,22792,24734,97146,128472,259319,141880,30064,41048,26009,6326,3216,32.5,30.0
"2011","EC - London EC","EC - London EC","Total",33205,1550,744,453,1067,183,393,1440,4246,4532,9153,5169,1240,1598,1033,274,130,35.4,32.0
"2011","EN - Enfield","EN - Enfield","Total",344434,23995,13192,8187,21682,4490,9252,8226,21421,22619,73054,67044,18511,27333,18242,4758,2428,38.3,38.0
"2011","EX - Exeter","EX - Exeter","Total",547511,28263,16242,10430,29247,6408,12701,14855,33936,28017,94368,110120,40747,62384,41087,12052,6654,43.3,44.0
"2011","FY - Blackpool","FY - Blackpool","Total",276623,14542,8490,5229,15098,3135,6776,6373,14863,14691,48992,57270,19417,31444,21543,5812,2948,43.3,45.0
"2011","GL - Gloucester","GL - Gloucester","Total",605821,33792,19346,12702,35130,7456,15790,14549,35233,34204,117725,126845,40490,58934,37344,10704,5577,41.3,42.0
"2011","GU - Guildford","GU - Guildford","Total",725368,45503,26267,16335,43497,9057,18330,16842,41496,42349,154365,147390,43877,62390,40101,11207,6362,39.8,40.0
"2011","HA - Harrow","HA - Harrow","Total",480953,31871,17699,10980,28928,6139,12781,10804,33038,40823,107092,89677,23923,34687,23386,5897,3228,37.5,36.0
"2011","HD - Huddersfield","HD - Huddersfield","Total",262814,16325,9163,5816,15227,3253,6363,7167,18237,16129,53406,52640,16881,22843,13963,3572,1829,39.4,40.0
"2011","HG - Harrogate","HG - Harrogate","Total",138343,7708,4564,3007,8087,1685,3454,2783,6572,7429,27150,29462,9281,13811,9228,2629,1493,42.0,43.0
"2011","HP - Hemel Hempstead","HP - Hemel Hempstead","Total",488351,32619,18202,11644,30852,6398,12830,10690,26697,29154,103664,99822,28517,40186,26428,6980,3668,39.1,39.0
"2011","HR - Hereford","HR - Hereford","Total",176493,9367,5368,3481,10000,2143,4357,3802,9185,9459,31938,37147,12988,19450,12720,3375,1713,42.8,44.0
"2011","HU - Hull","HU - Hull","Total",443223,26254,14353,9007,24552,5416,11093,12768,32946,28442,85944,88446,28719,39393,26301,6379,3210,40.0,40.0
"2011","HX - Halifax","HX - Halifax","Total",160378,10464,5980,3696,10080,2232,4136,3810,9085,9789,33088,33176,10155,13426,8069,2137,1055,39.1,40.0
"2011","IG - Ilford","IG - Ilford","Total",335694,26939,14306,8980,22670,4530,9128,8237,23474,27984,75838,58402,15027,20342,13821,3930,2086,35.4,33.0
