msoa,lad
E02001682,Gateshead
E02001683,Gateshead
E02001684,Gateshead
E02001685,Gateshead
E02001686,Gateshead
E02001687,Gateshead
E02001688,Gateshead
E02001689,Gateshead
E02001690,Gateshead
E02001691,Gateshead
E02001692,Gateshead
E02001693,Gateshead
E02001694,Gateshead
E02001695,Gateshead
E02001696,Gateshead
E02001697,Gateshead
E02001698,Gateshead
E02001699,Gateshead
E02001700,Gateshead
E02001701,Gateshead
E02001702,Gateshead
E02001703,Gateshead
E02001704,Gateshead
E02001705,Gateshead
E02001706,Gateshead
E02001708,Newcastle-upon-Tyne
E02001709,Newcastle-upon-Tyne
E02001710,Newcastle-upon-Tyne
E02001711,Newcastle-upon-Tyne
E02001712,Newcastle-upon-Tyne
E02001713,Newcastle-upon-Tyne
E02001714,Newcastle-upon-Tyne
E02001715,Newcastle-upon-Tyne
E02001718,Newcastle-upon-Tyne
E02001719,Newcastle-upon-Tyne
E02001720,Newcastle-upon-Tyne
E02001721,Newcastle-upon-Tyne
E02001722,Newcastle-upon-Tyne
E02001723,Newcastle-upon-Tyne
E02001724,Newcastle-upon-Tyne
E02001725,Newcastle-upon-Tyne
E02001726,Newcastle-upon-Tyne
E02001727,Newcastle-upon-Tyne
E02001728,Newcastle-upon-Tyne
E02001729,Newcastle-upon-Tyne
E02001730,Newcastle-upon-Tyne
E02001731,Newcastle-upon-Tyne
E02001732,Newcastle-upon-Tyne
E02001733,Newcastle-upon-Tyne
E02001734,Newcastle-upon-Tyne
E02001735,Newcastle-upon-Tyne
E02001736,Newcastle-upon-Tyne
E02001737,Newcastle-upon-Tyne
E02001738,North Tyneside
E02001739,North Tyneside
E02001740,North Tyneside
E02001741,North Tyneside
E02001742,North Tyneside
E02001743,North Tyneside
E02001744,North Tyneside
E02001745,North Tyneside
E02001746,North Tyneside
E02001747,North Tyneside
E02001748,North Tyneside
E02001749,North Tyneside
E02001750,North Tyneside
E02001751,North Tyneside
E02001752,North Tyneside
E02001753,North Tyneside
E02001754,North Tyneside
E02001755,North Tyneside
E02001756,North Tyneside
E02001757,North Tyneside
E02001758,North Tyneside
E02001759,North Tyneside
E02001760,North Tyneside
E02001761,North Tyneside
E02001762,North Tyneside
E02001763,North Tyneside
E02001764,North Tyneside
E02001765,North Tyneside
E02001766,North Tyneside
E02001767,North Tyneside
E02001769,South Tyneside
E02001770,South Tyneside
E02001771,South Tyneside
E02001772,South Tyneside
E02001773,South Tyneside
E02001774,South Tyneside
E02001775,South Tyneside
E02001776,South Tyneside
E02001777,South Tyneside
E02001778,South Tyneside
E02001779,South Tyneside
E02001780,South Tyneside
E02001781,South Tyneside
E02001782,South Tyneside
E02001783,South Tyneside
E02001784,South Tyneside
E02001785,South Tyneside
E02001786,South Tyneside
E02001787,South Tyneside
E02001788,South Tyneside
E02001789,South Tyneside
E02001790,South Tyneside
E02001791,Sunderland
E02001792,Sunderland
E02001793,Sunderland
E02001794,Sunderland
E02001795,Sunderland
E02001796,Sunderland
E02001797,Sunderland
E02001798,Sunderland
E02001799,Sunderland
E02001800,Sunderland
E02001801,Sunderland
E02001802,Sunderland
E02001803,Sunderland
E02001804,Sunderland
E02001805,Sunderland
E02001806,Sunderland
E02001807,Sunderland
E02001808,Sunderland
E02001809,Sunderland
E02001810,Sunderland
E02001811,Sunderland
E02001812,Sunderland
E02001813,Sunderland
E02001814,Sunderland
E02001815,Sunderland
E02001816,Sunderland
E02001817,Sunderland
E02001818,Sunderland
E02001819,Sunderland
E02001820,Sunderland
E02001821,Sunderland
E02001822,Sunderland
E02001823,Sunderland
E02001824,Sunderland
E02001825,Sunderland
E02001826,Sunderland

