age care_home_female care_home_male "residents female" residents_male
0 0.75 0.75 0.0 0.0
1 0.75 0.75 0.0 0.0
2 0.75 0.75 0.0 0.0
3 0.75 0.75 0.0 0.0
4 0.75 0.75 0.0 0.0
5 0.75 0.75 0.0 0.0
6 0.75 0.75 0.0 0.0
7 0.75 0.75 0.0 0.0
8 0.75 0.75 0.0 0.0
9 0.7499999999999999 0.75 0.0 0.0
10 0.75 0.75 0.0 0.0
11 0.75 0.75 0.0 0.0
12 0.75 0.75 0.0 0.0
13 0.75 0.75 0.0 0.0
14 0.75 0.75 0.0 0.0
15 0.75 0.75 0.0 0.0
16 0.75 0.75 0.0 0.0
17 0.75 0.75 0.0 0.0
18 0.75 0.7499999999999999 0.0 0.0
19 0.75 0.75 0.0 0.0
20 0.75 0.75 0.0 0.0
21 0.75 0.75 0.0 0.0
22 0.75 0.7499999999999999 0.0 0.0
23 0.75 0.75 0.0 0.0
24 0.75 0.75 0.0 0.0
25 0.75 0.75 0.0 0.0
26 0.75 0.75 0.0 0.0
27 0.75 0.75 0.0 0.0
28 0.75 0.75 0.0 0.0
29 0.75 0.75 0.0 0.0
30 0.75 0.75 0.0 0.0
31 0.75 0.7500000000000001 0.0 0.0
32 0.75 0.7499999999999999 0.0 0.0
33 0.75 0.75 0.0 0.0
34 0.75 0.7499999999999999 0.0 0.0
35 0.75 0.75 0.0 0.0
36 0.75 0.75 0.0 0.0
37 0.75 0.75 0.0 0.0
38 0.75 0.75 0.0 0.0
39 0.75 0.75 0.0 0.0
40 0.75 0.75 0.0 0.0
41 0.75 0.7500000000000001 0.0 0.0
42 0.75 0.75 0.0 0.0
43 0.7499999999999999 0.75 0.0 0.0
44 0.75 0.75 0.0 0.0
45 0.75 0.7500000000000001 0.0 0.0
46 0.7500000000000001 0.75 0.0 0.0
47 0.7499999999999999 0.75 0.0 0.0
48 0.75 0.75 0.0 0.0
49 0.75 0.7499999999999999 0.0 0.0
50 0.75 0.7499999999999999 0.0 0.0
51 0.75 0.75 0.0 0.0
52 0.75 0.75 0.0 0.0
53 0.75 0.75 0.0 0.0
54 0.7499999999999999 0.75 0.0 0.0
55 0.75 0.75 0.0 0.0
56 0.75 0.75 0.0008659546397707762 0.00029245853994607635
57 0.75 0.75 0.002692090656588212 0.003246348543836112
58 0.75 0.75 0.002343448288839263 0.004966147571642638
59 0.75 0.75 0.002311399917821373 0.006595975304564456
60 0.75 0.75 0.0019846557449854935 0.010955786547425718
61 0.75 0.75 0.002396395011626711 0.01496938182524399
62 0.75 0.75 0.004067267094234293 0.019352018044478485
63 0.7500000000000001 0.75 0.00620157757916965 0.024316245149147306
64 0.75 0.75 0.010138739572283957 0.030202259134100153
65 0.75 0.75 0.004270243639513168 0.031186953292831755
66 0.75 0.75 0.0014338825366293868 0.03317546962662802
67 0.75 0.75 0.0006541552783754616 0.035816091975690564
68 0.75 0.75 0.00040276437388853895 0.03876055530248292
69 0.75 0.75 0.0007426831645084668 0.041870509699976355
70 0.75 0.75 0.0 0.042311892099419844
71 0.75 0.75 0.0 0.045025865515137195
72 0.75 0.75 0.0 0.049357301982254
73 0.75 0.75 0.0 0.05618476870472469
74 0.75 0.75 0.0 0.06657785256710483
75 0.75 0.75 0.0 0.07485420607723446
76 0.75 0.75 0.0 0.0943888524544291
77 0.75 0.75 0.0 0.11606143275308309
78 0.75 0.75 0.0 0.1380080406288954
79 0.75 0.75 0.0 0.16346363674018838
80 0.75 0.75 0.0 0.18939952233662555
81 0.75 0.75 0.01533245795939201 0.21414808798761054
82 0.75 0.75 0.03787650221661485 0.2378584464768692
83 0.75 0.75 0.05744451398417129 0.25907515004388576
84 0.75 0.75 0.07311067436604712 0.2778947661826879
85 0.75 0.7500000000000001 0.08820488387628422 0.2968274773432399
86 0.75 0.7499999999999999 0.11708162888477038 0.3231464187200582
87 0.75 0.75 0.14805390682296588 0.3515454013551535
88 0.75 0.75 0.18028119148383387 0.38094379116746024
89 0.75 0.75 0.19464111612912677 0.4087363308348325
90 0.75 0.75 0.2315357853003748 0.4366916876044108
91 0.75 0.75 0.2684304544716226 0.46464704437398896
92 0.75 0.75 0.30532512364287046 0.49260240114356724
93 0.75 0.75 0.3422197928141183 0.5205577579131455
94 0.75 0.75 0.37911446198536614 0.5485131146827237
95 0.75 0.75 0.416009131156614 0.576468471452302
96 0.7499999999999999 0.75 0.4529038003278618 0.6044238282218801
97 0.75 0.7500000000000001 0.48979846949910966 0.6323791849914584
98 0.75 0.75 0.5266931386703575 0.6603345417610367
99 0.75 0.75 0.5635878078416053 0.6882898985306148
