ages Centile1 Centile2 Centile3 Centile4 Centile5 Centile6 Centile7 Centile8 Centile9 Centile10 Centile11 Centile12 Centile13 Centile14 Centile15 Centile16 Centile17 Centile18 Centile19 Centile20 Centile21 Centile22 Centile23 Centile24 Centile25 Centile26 Centile27 Centile28 Centile29 Centile30 Centile31 Centile32 Centile33 Centile34 Centile35 Centile36 Centile37 Centile38 Centile39 Centile40 Centile41 Centile42 Centile43 Centile44 Centile45 Centile46 Centile47 Centile48 Centile49 Centile50 Centile51 Centile52 Centile53 Centile54 Centile55 Centile56 Centile57 Centile58 Centile59 Centile60 Centile61 Centile62 Centile63 Centile64 Centile65 Centile66 Centile67 Centile68 Centile69 Centile70 Centile71 Centile72 Centile73 Centile74 Centile75 Centile76 Centile77 Centile78 Centile79 Centile80 Centile81 Centile82 Centile83 Centile84 Centile85 Centile86 Centile87 Centile88 Centile89 Centile90 Centile91 Centile92 Centile93 Centile94 Centile95 Centile96 Centile97 Centile98 Centile99 Centile100
0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1 1.0859156426424563 1.0701999169596785 1.0653825611689858 1.0630197618032815 1.0566248821636233 1.0534100218922617 1.0517122119205247 1.0472752219227675 1.0476715402354617 1.0451521184141381 1.0469108010086943 1.0412339243491975 1.0401090439186207 1.0396311212472609 1.039123901084941 1.0345234829345868 1.0370500264563998 1.034866232412835 1.0352634693981373 1.0363976798462395 1.0314931401012501 1.0311828551025148 1.0316339726151877 1.0291750796660428 1.028867560325877 1.0289142683942543 1.0268520641577614 1.0272121308568845 1.025901392723671 1.02255968115372 1.023838974102882 1.0229083990039074 1.021034996736134 1.0220218475448932 1.0196835634103791 1.0179462555737668 1.015727853632268 1.016816330244337 1.0174943322584074 1.012252977216346 1.0157054894118278 1.0138050844305664 1.012416702667731 1.0116178570647238 1.0113813057607437 1.0088180744216744 1.0117577984860253 1.0078999027809938 1.006213662052975 1.0062819894646788 1.0045331489397424 1.0044432233690244 1.0069001225984633 1.0019011969983225 1.005581438103606 1.0008969454864691 1.000961652147266 1.00047723993341 1.0014450384991505 0.9984265616503295 0.9982925356728938 1.0013620763543218 1.000799062393487 0.9971137307687781 0.997018247411214 0.998494717265423 0.9979154964032226 0.9979325185610813 0.9957964076862964 0.9943387843280919 0.9941950204505053 0.9931408118732656 0.9946709420324952 0.9930962165522562 0.9931088999261891 0.9942761632739608 0.9917513245468753 0.9908562159427532 0.9912367757303767 0.9887615971555603 0.991267797761031 0.9875254796114191 0.9865801655869033 0.9881302789499252 0.9864791383922954 0.9859313341019764 0.9838467510444776 0.9842266646506977 0.9857757580792703 0.9843195307989184 0.9828972592645185 0.9828759385489084 0.9808700756176725 0.9812688448188484 0.9808068378770544 0.9768178668137402 0.9764967217666 0.9748656537258609 0.9719039863222259 0.967936426881537
2 2.1718312852849126 2.140399833919357 2.1307651223379716 2.126039523606563 2.1132497643272465 2.1068200437845235 2.1034244238410493 2.094550443845535 2.0953430804709234 2.0903042368282763 2.0938216020173885 2.082467848698395 2.0802180878372414 2.0792622424945217 2.078247802169882 2.0690469658691737 2.0741000529127995 2.06973246482567 2.0705269387962746 2.072795359692479 2.0629862802025003 2.0623657102050297 2.0632679452303755 2.0583501593320856 2.057735120651754 2.0578285367885085 2.053704128315523 2.054424261713769 2.051802785447342 2.04511936230744 2.047677948205764 2.045816798007815 2.042069993472268 2.0440436950897864 2.0393671268207583 2.0358925111475337 2.031455707264536 2.033632660488674 2.0349886645168147 2.024505954432692 2.0314109788236556 2.0276101688611328 2.024833405335462 2.0232357141294477 2.0227626115214874 2.0176361488433487 2.0235155969720506 2.0157998055619877 2.01242732410595 2.0125639789293577 2.009066297879485 2.0088864467380487 2.0138002451969266 2.003802393996645 2.011162876207212 2.0017938909729383 2.001923304294532 2.00095447986682 2.002890076998301 1.996853123300659 1.9965850713457876 2.0027241527086437 2.001598124786974 1.9942274615375561 1.994036494822428 1.996989434530846 1.9958309928064453 1.9958650371221627 1.9915928153725928 1.9886775686561837 1.9883900409010107 1.9862816237465313 1.9893418840649904 1.9861924331045124 1.9862177998523782 1.9885523265479217 1.9835026490937506 1.9817124318855064 1.9824735514607534 1.9775231943111207 1.982535595522062 1.9750509592228382 1.9731603311738066 1.9762605578998504 1.9729582767845908 1.9718626682039528 1.9676935020889552 1.9684533293013955 1.9715515161585406 1.9686390615978369 1.965794518529037 1.9657518770978168 1.961740151235345 1.9625376896376967 1.9616136757541087 1.9536357336274803 1.9529934435332 1.9497313074517217 1.9438079726444517 1.935872853763074
3 3.257746927927369 3.2105997508790356 3.196147683506957 3.189059285409844 3.1698746464908694 3.160230065676785 3.155136635761574 3.1418256657683026 3.1430146207063854 3.135456355242414 3.140732403026083 3.1237017730475922 3.1203271317558623 3.1188933637417824 3.1173717032548227 3.1035704488037608 3.111150079369199 3.104598697238505 3.1057904081944123 3.1091930395387184 3.0944794203037502 3.093548565307545 3.0949019178455632 3.0875252389981283 3.0866026809776312 3.0867428051827632 3.080556192473284 3.081636392570653 3.0777041781710133 3.06767904346116 3.0715169223086463 3.0687251970117218 3.0631049902084024 3.0660655426346795 3.0590506902311376 3.0538387667213 3.047183560896804 3.0504489907330106 3.0524829967752223 3.036758931649038 3.0471164682354837 3.0414152532916994 3.0372501080031933 3.034853571194172 3.034143917282231 3.0264542232650227 3.0352733954580757 3.0236997083429817 3.0186409861589243 3.0188459683940367 3.0135994468192275 3.013329670107073 3.0207003677953894 3.005703590994967 3.0167443143108175 3.002690836459407 3.002884956441798 3.0014317198002307 3.0043351154974514 2.995279684950989 2.9948776070186813 3.0040862290629655 3.0023971871804607 2.991341192306334 2.9910547422336418 2.995484151796269 2.993746489209668 2.993797555683244 2.9873892230588894 2.9830163529842753 2.982585061351516 2.979422435619797 2.9840128260974854 2.9792886496567688 2.9793266997785675 2.982828489821882 2.975253973640626 2.9725686478282594 2.9737103271911303 2.966284791466681 2.973803393283093 2.9625764388342573 2.95974049676071 2.9643908368497756 2.959437415176886 2.9577940023059295 2.951540253133433 2.9526799939520934 2.957327274237811 2.9529585923967554 2.9486917777935555 2.9486278156467254 2.9426102268530174 2.943806534456545 2.942420513631163 2.9304536004412207 2.9294901652998 2.9245969611775826 2.9157119589666776 2.903809280644611
4 4.343662570569825 4.280799667838714 4.261530244675943 4.252079047213126 4.226499528654493 4.213640087569047 4.206848847682099 4.18910088769107 4.190686160941847 4.1806084736565525 4.187643204034777 4.16493569739679 4.160436175674483 4.1585244849890435 4.156495604339764 4.138093931738347 4.148200105825599 4.13946492965134 4.141053877592549 4.145590719384958 4.125972560405001 4.124731420410059 4.126535890460751 4.116700318664171 4.115470241303508 4.115657073577017 4.107408256631046 4.108848523427538 4.103605570894684 4.09023872461488 4.095355896411528 4.09163359601563 4.084139986944536 4.088087390179573 4.0787342536415165 4.071785022295067 4.062911414529072 4.067265320977348 4.069977329033629 4.049011908865384 4.062821957647311 4.0552203377222655 4.049666810670924 4.046471428258895 4.045525223042975 4.0352722976866975 4.047031193944101 4.031599611123975 4.0248546482119 4.025127957858715 4.01813259575897 4.0177728934760975 4.027600490393853 4.00760478799329 4.022325752414424 4.0035877819458765 4.003846608589064 4.00190895973364 4.005780153996602 3.993706246601318 3.993170142691575 4.005448305417287 4.003196249573948 3.9884549230751123 3.988072989644856 3.993978869061692 3.9916619856128905 3.9917300742443254 3.9831856307451856 3.9773551373123675 3.9767800818020214 3.9725632474930626 3.9786837681299807 3.972384866209025 3.9724355997047565 3.9771046530958434 3.9670052981875012 3.9634248637710128 3.964947102921507 3.9550463886222413 3.965071191044124 3.9501019184456765 3.9463206623476133 3.952521115799701 3.9459165535691816 3.9437253364079057 3.9353870041779104 3.936906658602791 3.9431030323170813 3.9372781231956737 3.931589037058074 3.9315037541956337 3.92348030247069 3.9250753792753934 3.9232273515082174 3.9072714672549607 3.9059868870664 3.8994626149034435 3.8876159452889034 3.871745707526148
5 5.429578213212282 5.350999584798393 5.326912805844929 5.315098809016407 5.283124410818116 5.267050109461309 5.2585610596026235 5.236376109613838 5.238357701177309 5.22576059207069 5.234554005043472 5.206169621745987 5.200545219593104 5.198155606236304 5.1956195054247045 5.172617414672934 5.185250132281999 5.174331162064175 5.176317346990687 5.181988399231198 5.1574657005062505 5.155914275512575 5.158169863075939 5.1458753983302135 5.144337801629385 5.144571341971272 5.1342603207888065 5.136060654284422 5.129506963618355 5.1127984057686 5.11919487051441 5.114541995019537 5.105174983680671 5.110109237724466 5.098417817051896 5.089731277868834 5.07863926816134 5.084081651221684 5.087471661292037 5.06126488608173 5.078527447059139 5.069025422152832 5.0620835133386555 5.05808928532362 5.056906528803718 5.044090372108371 5.058788992430126 5.039499513904969 5.031068310264874 5.031409947323395 5.022665744698712 5.022216116845122 5.034500612992316 5.009505984991613 5.027907190518029 5.004484727432345 5.00480826073633 5.002386199667051 5.007225192495753 4.992132808251648 4.991462678364469 5.006810381771609 5.003995311967435 4.985568653843891 4.98509123705607 4.992473586327115 4.989577482016113 4.989662592805407 4.978982038431482 4.971693921640459 4.970975102252527 4.965704059366328 4.973354710162476 4.965481082761281 4.965544499630946 4.971380816369804 4.958756622734376 4.954281079713766 4.956183878651883 4.943807985777802 4.956338988805155 4.937627398057096 4.932900827934517 4.940651394749626 4.932395691961477 4.929656670509882 4.919233755222388 4.921133323253489 4.928878790396352 4.921597653994592 4.914486296322592 4.914379692744542 4.904350378088362 4.906344224094242 4.904034189385272 4.884089334068701 4.882483608833 4.874328268629305 4.859519931611129 4.839682134407685
6 6.515493855854738 6.421199501758071 6.392295367013914 6.378118570819688 6.339749292981739 6.32046013135357 6.310273271523148 6.283651331536605 6.286029241412771 6.270912710484828 6.281464806052166 6.2474035460951844 6.240654263511725 6.237786727483565 6.234743406509645 6.2071408976075215 6.222300158738398 6.20919739447701 6.211580816388825 6.218386079077437 6.1889588406075005 6.18709713061509 6.1898038356911265 6.1750504779962565 6.1732053619552625 6.1734856103655265 6.161112384946568 6.163272785141306 6.1554083563420265 6.13535808692232 6.1430338446172925 6.1374503940234435 6.126209980416805 6.132131085269359 6.118101380462275 6.1076775334426 6.094367121793608 6.100897981466021 6.104965993550445 6.073517863298076 6.094232936470967 6.082830506583399 6.074500216006387 6.069707142388344 6.068287834564462 6.052908446530045 6.0705467909161515 6.0473994166859635 6.037281972317849 6.0376919367880735 6.027198893638455 6.026659340214146 6.041400735590779 6.011407181989934 6.033488628621635 6.005381672918814 6.005769912883596 6.002863439600461 6.008670230994903 5.990559369901978 5.989755214037363 6.008172458125931 6.004794374360921 5.982682384612668 5.9821094844672835 5.990968303592538 5.987492978419336 5.987595111366488 5.974778446117779 5.9660327059685505 5.965170122703032 5.958844871239594 5.968025652194971 5.9585772993135375 5.958653399557135 5.965656979643764 5.950507947281252 5.945137295656519 5.9474206543822605 5.932569582933362 5.947606786566186 5.9251528776685145 5.91948099352142 5.928781673699551 5.918874830353772 5.915588004611859 5.903080506266866 5.905359987904187 5.914654548475622 5.905917184793511 5.897383555587111 5.897255631293451 5.885220453706035 5.88761306891309 5.884841027262326 5.860907200882441 5.8589803305996 5.849193922355165 5.831423917933355 5.807618561289222
7 7.601409498497195 7.49139941871775 7.4576779281829 7.44113833262297 7.396374175145362 7.373870153245831 7.361985483443673 7.330926553459372 7.333700781648233 7.316064828898966 7.3283756070608606 7.288637470444382 7.2807633074303455 7.277417848730826 7.273867307594586 7.241664380542108 7.259350185194798 7.244063626889845 7.2468442857869615 7.2547837589236766 7.22045198070875 7.218279985717604 7.221437808306314 7.2042255576622996 7.20207292228114 7.20239987875978 7.18796444910433 7.190484915998191 7.181309749065697 7.15791776807604 7.166872818720174 7.160358793027351 7.14724497715294 7.154152932814252 7.137784943872654 7.125623789016367 7.110094975425876 7.117714311710358 7.122460325808852 7.085770840514423 7.109938425882795 7.096635591013965 7.086916918674118 7.081324999453067 7.079669140325206 7.06172652095172 7.0823045894021766 7.055299319466957 7.0434956343708235 7.043973926252752 7.031732042578198 7.031102563583171 7.048300858189243 7.013308378988257 7.03907006672524 7.006278618405283 7.006731565030862 7.0033406795338715 7.010115269494054 6.988985931552307 6.988047749710256 7.009534534480252 7.005593436754409 6.979796115381447 6.979127731878498 6.989463020857961 6.985408474822559 6.985527629927569 6.970574853804075 6.960371490296643 6.959365143153538 6.951985683112859 6.962696594227467 6.951673515865793 6.951762299483324 6.959933142917725 6.942259271828127 6.935993511599272 6.938657430112637 6.921331180088923 6.938874584327217 6.912678357279933 6.906061159108323 6.9169119526494764 6.905353968746068 6.901519338713835 6.886927257311344 6.889586652554884 6.900430306554893 6.890236715592429 6.88028081485163 6.8801315698423595 6.866090529323707 6.868881913731938 6.865647865139381 6.837725067696182 6.835477052366199 6.8240595760810265 6.803327904255581 6.775554988170759
8 8.68732514113965 8.561599335677428 8.523060489351886 8.504158094426252 8.452999057308986 8.427280175138094 8.413697695364197 8.37820177538214 8.381372321883694 8.361216947313105 8.375286408069554 8.32987139479358 8.320872351348966 8.317048969978087 8.312991208679527 8.276187863476695 8.296400211651198 8.27892985930268 8.282107755185098 8.291181438769916 8.251945120810001 8.249462840820119 8.253071780921502 8.233400637328343 8.230940482607016 8.231314147154034 8.214816513262091 8.217697046855076 8.207211141789369 8.18047744922976 8.190711792823056 8.18326719203126 8.168279973889073 8.176174780359146 8.157468507283033 8.143570044590135 8.125822829058144 8.134530641954695 8.139954658067259 8.098023817730768 8.125643915294622 8.110440675444531 8.099333621341849 8.09294285651779 8.09105044608595 8.070544595373395 8.094062387888203 8.06319922224795 8.0497092964238 8.05025591571743 8.03626519151794 8.035545786952195 8.055200980787706 8.01520957598658 8.044651504828847 8.007175563891753 8.007693217178128 8.00381791946728 8.011560307993204 7.987412493202636 7.98634028538315 8.010896610834575 8.006392499147896 7.976909846150225 7.976145979289712 7.987957738123384 7.983323971225781 7.983460148488651 7.966371261490371 7.954710274624735 7.953560163604043 7.945126494986125 7.957367536259961 7.94476973241805 7.944871199409513 7.954209306191687 7.9340105963750025 7.9268497275420255 7.929894205843014 7.910092777244483 7.930142382088248 7.900203836891353 7.8926413246952265 7.905042231599402 7.891833107138363 7.887450672815811 7.870774008355821 7.873813317205582 7.8862060646341625 7.874556246391347 7.863178074116148 7.863007508391267 7.84696060494138 7.850150758550787 7.846454703016435 7.814542934509921 7.8119737741328 7.798925229806887 7.775231890577807 7.743491415052296
9 9.773240783782107 9.631799252637107 9.58844305052087 9.567177856229533 9.50962393947261 9.480690197030356 9.465409907284723 9.425476997304907 9.429043862119157 9.406369065727242 9.422197209078249 9.371105319142776 9.360981395267586 9.356680091225348 9.352115109764469 9.310711346411281 9.333450238107597 9.313796091715515 9.317371224583237 9.327579118616155 9.28343826091125 9.280645695922635 9.28470575353669 9.262575716994384 9.259808042932894 9.260228415548289 9.241668577419853 9.244909177711959 9.233112534513038 9.20303713038348 9.214550766925939 9.206175591035166 9.189314970625208 9.19819662790404 9.177152070693413 9.161516300163902 9.141550682690411 9.15134697219903 9.157448990325667 9.110276794947115 9.141349404706451 9.124245759875098 9.111750324009579 9.104560713582515 9.102431751846693 9.079362669795069 9.105820186374228 9.071099125028946 9.055922958476772 9.056537905182111 9.040798340457682 9.03998901032122 9.06210110338617 9.017110772984902 9.050232942932452 9.008072509378222 9.008654869325394 9.00429515940069 9.013005346492355 8.985839054852965 8.984632821056044 9.012258687188897 9.007191561541383 8.974023576919002 8.973164226700925 8.986452455388807 8.981239467629004 8.981392667049732 8.962167669176667 8.949049058952827 8.947755184054548 8.938267306859391 8.952038478292456 8.937865948970305 8.937980099335702 8.948485469465647 8.925761920921877 8.917705943484778 8.92113098157339 8.898854374400043 8.921410179849278 8.887729316502773 8.879221490282129 8.893172510549327 8.878312245530658 8.873382006917788 8.8546207594003 8.85803998185628 8.871981822713433 8.858875777190265 8.846075333380666 8.845883446940176 8.827830680559051 8.831419603369635 8.82726154089349 8.791360801323663 8.7884704958994 8.773790883532747 8.747135876900034 8.711427841933833
